experiment1d.txt
ORACLE


3	3	
1	1	
1	1	
1	1	
1	3	
1	1	
1	2	
1	3	
3	3	
3	1	
1	2	
1	1	
1	6	
1	1	
3	3	
1	1	
1	1	
1	1	
1	1	
1	34	
1	3	
1	4	
1	8	
1	4	
3	28	
1	3	
1	1	
1	5	
1	1	
1	7	
3	3	
1	1	
1	1	
1	1	
10	13	
16	16	
16	15	
16	16	
16	21	
19	10	
10	16	
10	10	
15	15	
16	16	
16	16	
16	16	
16	19	
16	16	
16	19	
16	14	
16	13	
16	7	
19	13	
7	7	
3	3	
13	13	
13	13	
3	3	
13	13	
13	13	
13	15	
13	16	
13	38	
7	15	
3	19	
13	20	
13	10	
3	3	
3	3	
3	3	
3	13	
13	16	
13	16	
Average nll: 2.411	
Total nll: 4547.983	
Percentage correct: 32.18%	
Percentage correct (not tonic): 14.30%	
