experiment1e.txt
----------------

After switching from pitch to interval encoding for the neighboring melody notes.

Epoch:	497	42142.221929407	
1	1	
1	2	
3	3	
1	1	
3	3	
1	4	
1	8	
4	4	
3	28	
1	3	
3	3	
3	3	
1	3	
1	1	
1	8	
1	1	
1	8	
1	1	
3	22	
3	3	
1	8	
2	2	
1	4	
3	7	
3	3	
4	1	
1	6	
3	48	
1	31	
7	7	
1	4	
7	7	
3	3	
1	1	
1	1	
1	1	
1	1	
1	1	
1	6	
1	1	
1	1	
1	2	
3	3	
1	1	
1	1	
1	4	
1	5	
1	9	
1	30	
4	5	
3	1	
1	3	
1	16	
1	4	
1	4	
4	7	
1	4	
7	7	
1	3	
1	1	
1	1	
1	1	
1	6	
1	1	
1	1	
1	2	
3	3	
1	1	
1	1	
1	4	
1	5	
1	9	
1	30	
7	5	
3	1	
1	3	
1	16	
1	4	
1	4	
4	7	
1	4	
7	7	
3	3	
1	1	
3	1	
1	6	
1	8	
1	2	
4	46	
1	7	
3	49	
1	7	
1	1	
1	2	
1	3	
1	4	
1	1	
1	13	
1	3	
1	1	
Average nll: 2.334	
Total nll: 4684.712	
Percentage correct: 32.64%	
Percentage correct (not tonic): 17.97%
